date,latitude,longitude,depth,magnitude,magnitude_type,MD,ML,Mw,Ms,location,provider
2025-11-20T01:52:09,39.1385,28.299,16.4,2.4,ML,,2.4,,,YUREGIL-SINDIRGI (BALIKESIR),KOERI
2025-11-20T01:42:32,37.9908,27.1373,14.7,1.4,ML,,1.4,,,KUSADASI KORFEZI (EGE DENIZI),KOERI
2025-11-20T01:35:11,39.1903,28.135,12.9,1.2,ML,,1.2,,,ORMANICI-SINDIRGI (BALIKESIR),KOERI
2025-11-20T01:23:08,38.2873,27.1968,7.7,2.6,ML,,2.6,,,KISIK-MENDERES (IZMIR),KOERI
2025-11-20T01:12:18,39.0995,28.3023,16.1,1.6,ML,,1.6,,,YUREGIL-SINDIRGI (BALIKESIR),KOERI
2025-11-20T00:57:48,39.2032,28.1287,9.6,1.2,ML,,1.2,,,ORMANICI-SINDIRGI (BALIKESIR),KOERI
2025-11-20T00:43:08,38.458,37.3155,21.2,1.3,ML,,1.3,,,AKARCA-ELBISTAN (KAHRAMANMARAS),KOERI
2025-11-20T00:42:39,39.1537,28.2528,17.4,2.0,ML,,2.0,,,BAYRAKLI-SINDIRGI (BALIKESIR),KOERI
2025-11-20T00:31:10,39.2338,28.1408,7.9,2.6,ML,,2.6,,,MANDIRA-SINDIRGI (BALIKESIR),KOERI
2025-11-20T00:17:45,39.0142,28.2455,2.1,1.4,ML,,1.4,,,BEGEL-GORDES (MANISA),KOERI
2025-11-20T00:09:34,39.2463,28.1583,9.6,1.3,ML,,1.3,,,SINDIRGI (BALIKESIR),KOERI
2025-11-20T00:09:27,34.727,32.5312,10.4,2.7,ML,,2.7,,,AKDENIZ,KOERI
2025-11-20T00:06:38,39.1915,28.2132,9.5,1.3,ML,,1.3,,,ILICA-SINDIRGI (BALIKESIR),KOERI
2025-11-20T00:04:43,39.0258,28.2062,4.6,1.7,ML,,1.7,,,KALEMOGLU-GORDES (MANISA),KOERI
2025-11-19T23:59:49,39.1567,28.3135,9.2,1.4,ML,,1.4,,,KUCUKDAGDERE-SINDIRGI (BALIKESIR),KOERI
2025-11-19T23:57:11,39.1563,28.2903,12.6,2.5,ML,,2.5,,,ISIKLAR-SINDIRGI (BALIKESIR),KOERI
2025-11-19T23:52:56,39.0702,28.2667,12.3,1.3,ML,,1.3,,,DUTLUCA-GORDES (MANISA),KOERI
2025-11-19T23:34:40,39.2302,28.9602,4.1,1.8,ML,,1.8,,,YEMISLI-SIMAV (KUTAHYA),KOERI
2025-11-19T23:30:00,39.1505,28.2795,15.7,1.4,ML,,1.4,,,YUREGIL-SINDIRGI (BALIKESIR),KOERI
2025-11-19T23:26:52,36.3618,28.623,16.9,1.7,ML,,1.7,,,AKDENIZ,KOERI
2025-11-19T23:21:18,39.1838,28.1452,9.7,1.5,ML,,1.5,,,ORMANICI-SINDIRGI (BALIKESIR),KOERI
2025-11-19T23:08:07,39.132,28.3192,18.4,1.5,ML,,1.5,,,YUREGIL-SINDIRGI (BALIKESIR),KOERI
2025-11-19T22:49:53,39.2278,28.1557,8.1,1.6,ML,,1.6,,,MANDIRA-SINDIRGI (BALIKESIR),KOERI
2025-11-19T22:46:30,38.6253,43.34,24.0,2.3,ML,,2.3,,,YENIKOSK-(VAN),KOERI
2025-11-19T22:45:54,39.2367,29.0452,2.7,1.3,ML,,1.3,,,KATRANDAGI-EMET (KUTAHYA),KOERI
2025-11-19T22:44:51,38.3665,37.423,5.0,1.9,ML,,1.9,,,YALINTAS-ELBISTAN (KAHRAMANMARAS),KOERI
2025-11-19T22:33:14,35.025,25.9555,7.3,2.5,ML,,2.5,,,GIRIT ADASI (AKDENIZ),KOERI
2025-11-19T22:31:29,39.2595,28.1215,7.5,1.8,ML,,1.8,,,IBILLER-SINDIRGI (BALIKESIR),KOERI
2025-11-19T22:29:58,39.1268,28.3335,5.1,1.7,ML,,1.7,,,YUREGIL-SINDIRGI (BALIKESIR),KOERI
2025-11-19T22:27:31,39.2007,28.1592,11.0,1.9,ML,,1.9,,,YAYLACIK-SINDIRGI (BALIKESIR),KOERI
2025-11-19T22:25:42,38.5525,37.21,5.0,2.0,ML,,2.0,,,YAPILI-ELBISTAN (KAHRAMANMARAS),KOERI
2025-11-19T21:56:17,35.9542,28.5622,15.5,1.9,ML,,1.9,,,AKDENIZ,KOERI
2025-11-19T21:45:59,38.4407,37.2907,13.4,1.6,ML,,1.6,,,AKARCA-ELBISTAN (KAHRAMANMARAS),KOERI
2025-11-19T21:28:18,39.1928,28.1827,12.6,1.6,ML,,1.6,,,YAYLACIK-SINDIRGI (BALIKESIR),KOERI
2025-11-19T21:24:06,39.1325,28.2927,11.2,1.5,ML,,1.5,,,YUREGIL-SINDIRGI (BALIKESIR),KOERI
2025-11-19T21:14:01,39.1937,28.1855,12.2,1.4,ML,,1.4,,,YAYLACIK-SINDIRGI (BALIKESIR),KOERI
2025-11-19T21:09:45,39.1838,28.1805,9.2,1.3,ML,,1.3,,,YAYLACIK-SINDIRGI (BALIKESIR),KOERI
2025-11-19T21:00:26,39.2622,28.148,7.9,2.1,ML,,2.1,,,IBILLER-SINDIRGI (BALIKESIR),KOERI
2025-11-19T20:44:28,39.1317,28.3243,9.9,1.9,ML,,1.9,,,YUREGIL-SINDIRGI (BALIKESIR),KOERI
2025-11-19T20:37:56,39.2072,28.189,9.9,1.3,ML,,1.3,,,YAYLACIK-SINDIRGI (BALIKESIR),KOERI
2025-11-19T20:28:22,34.9635,25.9325,5.0,3.9,ML,,3.7,3.9,,GIRIT ADASI (AKDENIZ),KOERI
2025-11-19T20:25:33,39.171,28.3302,13.1,1.8,ML,,1.8,,,KUCUKDAGDERE-SINDIRGI (BALIKESIR),KOERI
2025-11-19T20:21:44,38.2283,27.9078,1.0,1.5,ML,,1.5,,,YENIKOY-ODEMIS (IZMIR),KOERI
2025-11-19T20:17:57,39.2138,28.1972,9.5,1.8,ML,,1.8,,,PURSUNLER-SINDIRGI (BALIKESIR),KOERI
2025-11-19T20:15:18,39.1933,28.1825,10.8,1.6,ML,,1.6,,,YAYLACIK-SINDIRGI (BALIKESIR),KOERI
2025-11-19T19:45:46,36.9023,36.728,8.8,1.7,ML,,1.7,,,YESEMEK-ISLAHIYE (GAZIANTEP),KOERI
2025-11-19T19:44:07,41.4705,32.5592,5.4,2.3,ML,,2.3,,,CEYUPLER-ULUS (BARTIN),KOERI
2025-11-19T19:40:48,39.145,28.2945,10.8,1.8,ML,,1.8,,,YUREGIL-SINDIRGI (BALIKESIR),KOERI
2025-11-19T19:39:59,39.05,28.2712,11.8,1.9,ML,,1.9,,,MALAZ-GORDES (MANISA),KOERI
2025-11-19T19:34:29,39.2278,28.1645,10.6,1.7,ML,,1.7,,,SINDIRGI (BALIKESIR),KOERI
2025-11-19T19:25:34,39.2202,28.181,11.0,1.7,ML,,1.7,,,YAYLACIK-SINDIRGI (BALIKESIR),KOERI
2025-11-19T19:15:41,39.1123,28.118,12.9,1.5,ML,,1.5,,,HANPASA-AKHISAR (MANISA),KOERI
2025-11-19T19:08:36,39.2235,28.1437,10.4,1.2,ML,,1.2,,,MANDIRA-SINDIRGI (BALIKESIR),KOERI
2025-11-19T19:05:00,38.2972,37.6885,16.0,1.3,ML,,1.3,,,HARUNUSAGI-AKCADAG (MALATYA),KOERI
2025-11-19T19:04:25,38.9995,29.1438,9.9,1.5,ML,,1.5,,,PAZARLAR (KUTAHYA),KOERI
2025-11-19T18:52:42,39.2132,28.1317,13.3,2.0,ML,,2.0,,,MANDIRA-SINDIRGI (BALIKESIR),KOERI
2025-11-19T18:51:05,40.8038,27.8695,7.1,2.9,ML,,2.9,,,MARMARA DENIZI,KOERI
2025-11-19T18:50:23,34.9595,25.9845,12.7,2.2,ML,,2.2,,,GIRIT ADASI (AKDENIZ),KOERI
2025-11-19T18:49:32,39.1343,28.2318,16.9,1.4,ML,,1.4,,,BAYRAKLI-SINDIRGI (BALIKESIR),KOERI
2025-11-19T18:41:02,39.209,28.0892,7.3,1.5,ML,,1.5,,,KERTIL-SINDIRGI (BALIKESIR),KOERI
2025-11-19T18:39:46,39.2083,28.1272,8.5,2.1,ML,,2.1,,,KERTIL-SINDIRGI (BALIKESIR),KOERI
2025-11-19T18:36:37,39.1288,28.149,10.8,1.3,ML,,1.3,,,SINANDEDE-SINDIRGI (BALIKESIR),KOERI
2025-11-19T18:27:20,36.7613,28.3212,54.1,1.6,ML,,1.6,,,GUNLUCE ACIKLARI-MUGLA (AKDENIZ),KOERI
2025-11-19T18:20:52,39.1223,28.3605,11.4,1.6,ML,,1.6,,,YAYLABAYIR-SINDIRGI (BALIKESIR),KOERI
2025-11-19T18:06:46,39.2987,40.2602,6.4,2.1,ML,,2.1,,,CICEKTEPE-KIGI (BINGOL),KOERI
2025-11-19T17:14:54,35.1028,25.9237,5.0,3.9,ML,,3.7,3.9,,GIRIT ADASI (AKDENIZ),KOERI
2025-11-19T16:39:02,38.1188,28.9503,9.2,1.5,ML,,1.5,,,HAMDIYE-GUNEY (DENIZLI),KOERI
2025-11-19T16:36:29,39.2295,28.1167,10.2,1.1,ML,,1.1,,,BAYIRLI-SINDIRGI (BALIKESIR),KOERI
2025-11-19T16:31:57,40.8022,27.4785,4.8,1.0,ML,,1.0,,,YENIKOY ACIKLARI-TEKIRDAG (MARMARA DENIZI),KOERI
2025-11-19T16:31:30,40.811,27.5307,16.6,1.4,ML,,1.4,,,YENIKOY ACIKLARI-TEKIRDAG (MARMARA DENIZI),KOERI
2025-11-19T16:26:11,39.0627,28.257,12.2,1.6,ML,,1.6,,,DUTLUCA-GORDES (MANISA),KOERI
2025-11-19T16:24:07,39.1668,28.2588,9.9,2.1,ML,,2.1,,,BAYRAKLI-SINDIRGI (BALIKESIR),KOERI
2025-11-19T16:03:53,39.1542,28.212,11.1,1.2,ML,,1.2,,,AKTAS-SINDIRGI (BALIKESIR),KOERI
2025-11-19T15:54:42,38.0393,38.2372,9.9,2.0,ML,,2.0,,,CELIKHAN (ADIYAMAN),KOERI
2025-11-19T15:46:50,39.1897,28.1667,13.4,2.4,ML,,2.4,,,YAYLACIK-SINDIRGI (BALIKESIR),KOERI
2025-11-19T15:42:43,39.2217,28.177,5.1,1.2,ML,,1.2,,,YAYLACIK-SINDIRGI (BALIKESIR),KOERI
2025-11-19T15:37:57,39.2138,28.1565,5.2,1.3,ML,,1.3,,,YAYLACIK-SINDIRGI (BALIKESIR),KOERI
2025-11-19T15:35:54,39.1508,28.3157,5.2,1.4,ML,,1.4,,,KUCUKDAGDERE-SINDIRGI (BALIKESIR),KOERI
2025-11-19T15:26:48,39.1937,28.2775,8.9,1.9,ML,,1.9,,,ISIKLAR-SINDIRGI (BALIKESIR),KOERI
2025-11-19T15:25:14,39.1922,28.2702,15.9,3.4,ML,,3.4,3.3,,ISIKLAR-SINDIRGI (BALIKESIR),KOERI
2025-11-19T15:08:24,39.1765,28.304,7.6,1.9,ML,,1.9,,,BUYUKDAGDERE-SINDIRGI (BALIKESIR),KOERI
2025-11-19T15:03:46,38.4968,39.164,5.2,2.0,ML,,2.0,,,DEDEPINARI (ELAZIG),KOERI
2025-11-19T15:00:20,38.4325,39.1623,25.7,1.3,ML,,1.3,,,KAVAKKOY-SIVRICE (ELAZIG),KOERI
2025-11-19T14:54:23,38.5502,39.1975,12.9,1.3,ML,,1.3,,,BALLICA (ELAZIG),KOERI
2025-11-19T14:28:35,37.7888,28.011,0.0,1.6,ML,,1.6,,,KARAHAYIT (AYDIN),KOERI
2025-11-19T14:22:33,40.4183,28.8787,5.2,1.1,ML,,1.1,,,GEMLIK KORFEZI (MARMARA DENIZI),KOERI
2025-11-19T14:15:58,39.0542,40.4425,3.6,1.5,ML,,1.5,,,SUDUGUNU (BINGOL),KOERI
2025-11-19T13:55:56,40.8043,27.5228,3.1,1.4,ML,,1.4,,,YENIKOY ACIKLARI-TEKIRDAG (MARMARA DENIZI),KOERI
2025-11-19T13:55:24,40.7878,27.481,2.4,1.2,ML,,1.2,,,YENIKOY ACIKLARI-TEKIRDAG (MARMARA DENIZI),KOERI
