segment_id,start_km,end_km,center_km,segment_length,earthquake_count,max_magnitude,avg_magnitude,is_gap,activity_ratio,fault_name
5,91.97212966469932,110.36655559763919,101.16934263116926,18.394425932939868,19,5.9,4.389473684210526,False,3.5625,Kuzey Anadolu Fayı - Tosya Segmenti
0,0.0,17.190921122292178,8.595460561146089,17.190921122292178,163,5.9,4.346625766871166,False,3.75328947368421,Doğu Anadolu Fayı - Erkenek Segmenti
1,17.190921122292178,34.381842244584355,25.786381683438265,17.190921122292178,14,4.7,4.292857142857144,False,0.3223684210526316,Doğu Anadolu Fayı - Erkenek Segmenti
2,34.381842244584355,51.57276336687653,42.977302805730446,17.190921122292174,20,5.0,4.28,False,0.4605263157894737,Doğu Anadolu Fayı - Erkenek Segmenti
3,51.57276336687653,68.76368448916871,60.16822392802262,17.19092112229218,10,7.6,4.619999999999999,True,0.23026315789473684,Doğu Anadolu Fayı - Erkenek Segmenti
4,68.76368448916871,85.95460561146089,77.3591450503148,17.19092112229218,25,5.0,4.32,False,0.575657894736842,Doğu Anadolu Fayı - Erkenek Segmenti
5,85.95460561146089,103.14552673375306,94.55006617260698,17.190921122292167,43,5.3,4.376744186046511,False,0.9901315789473684,Doğu Anadolu Fayı - Erkenek Segmenti
6,103.14552673375306,120.33644785604525,111.74098729489916,17.190921122292195,29,5.0,4.258620689655173,False,0.6677631578947368,Doğu Anadolu Fayı - Erkenek Segmenti
0,0.0,19.480379486796878,9.740189743398439,19.480379486796878,0,0.0,0.0,True,0.0,Büyük Menderes Grabeni Fayı
1,19.480379486796878,38.960758973593755,29.220569230195316,19.480379486796878,0,0.0,0.0,True,0.0,Büyük Menderes Grabeni Fayı
2,38.960758973593755,58.44113846039063,48.700948716992194,19.480379486796878,0,0.0,0.0,True,0.0,Büyük Menderes Grabeni Fayı
3,58.44113846039063,77.92151794718751,68.18132820378906,19.480379486796878,0,0.0,0.0,True,0.0,Büyük Menderes Grabeni Fayı
4,77.92151794718751,97.40189743398439,87.66170769058596,19.480379486796878,3,4.8,4.333333333333333,False,0.7741935483870968,Büyük Menderes Grabeni Fayı
5,97.40189743398439,116.88227692078127,107.14208717738282,19.480379486796878,8,5.5,4.625,False,2.064516129032258,Büyük Menderes Grabeni Fayı
6,116.88227692078127,136.36265640757813,126.6224666641797,19.480379486796863,15,5.0,4.253333333333334,False,3.870967741935484,Büyük Menderes Grabeni Fayı
7,136.36265640757813,155.84303589437502,146.10284615097657,19.480379486796892,5,4.5,4.18,False,1.2903225806451613,Büyük Menderes Grabeni Fayı
0,0.0,17.787762175683692,8.893881087841846,17.787762175683692,31,6.0,4.32258064516129,False,4.509090909090909,Fethiye-Burdur Fay Zonu
1,17.787762175683692,35.575524351367385,26.681643263525537,17.787762175683692,1,4.3,4.3,True,0.14545454545454545,Fethiye-Burdur Fay Zonu
2,35.575524351367385,53.36328652705107,44.469405439209226,17.78776217568369,7,5.0,4.428571428571429,False,1.018181818181818,Fethiye-Burdur Fay Zonu
3,53.36328652705107,71.15104870273477,62.25716761489292,17.787762175683696,5,4.5,4.16,False,0.7272727272727273,Fethiye-Burdur Fay Zonu
4,71.15104870273477,88.93881087841847,80.04492979057662,17.787762175683696,3,4.3,4.233333333333333,False,0.43636363636363634,Fethiye-Burdur Fay Zonu
5,88.93881087841847,106.72657305410215,97.83269196626031,17.78776217568368,1,4.8,4.8,True,0.14545454545454545,Fethiye-Burdur Fay Zonu
6,106.72657305410215,124.51433522978584,115.620454141944,17.787762175683696,6,4.7,4.3,False,0.8727272727272727,Fethiye-Burdur Fay Zonu
7,124.51433522978584,142.30209740546954,133.4082163176277,17.787762175683696,1,4.6,4.6,True,0.14545454545454545,Fethiye-Burdur Fay Zonu
0,0.0,19.148360532455555,9.574180266227778,19.148360532455555,0,0.0,0.0,True,0.0,Tuz Gölü Fay Zonu
1,19.148360532455555,38.29672106491111,28.722540798683333,19.148360532455555,0,0.0,0.0,True,0.0,Tuz Gölü Fay Zonu
2,38.29672106491111,57.445081597366666,47.87090133113889,19.148360532455555,0,0.0,0.0,True,0.0,Tuz Gölü Fay Zonu
3,57.445081597366666,76.59344212982222,67.01926186359444,19.148360532455555,0,0.0,0.0,True,0.0,Tuz Gölü Fay Zonu
4,76.59344212982222,95.74180266227778,86.16762239605,19.148360532455555,3,4.8,4.466666666666666,False,1.4210526315789473,Tuz Gölü Fay Zonu
5,95.74180266227778,114.89016319473333,105.31598292850555,19.148360532455555,0,0.0,0.0,True,0.0,Tuz Gölü Fay Zonu
6,114.89016319473333,134.03852372718887,124.4643434609611,19.14836053245554,3,5.2,4.466666666666667,False,1.4210526315789473,Tuz Gölü Fay Zonu
7,134.03852372718887,153.18688425964444,143.61270399341666,19.14836053245557,11,4.9,4.336363636363637,False,5.2105263157894735,Tuz Gölü Fay Zonu
8,153.18688425964444,172.33524479209999,162.7610645258722,19.14836053245554,2,4.5,4.35,False,0.9473684210526315,Tuz Gölü Fay Zonu
